Name,Longitude ,Latitude
Dunstan High School,169.386878,-45.245876
Cromwell College,169.1945,-45.043489
Wakatipu High School,168.659633,-45.022554
Roxburgh Area School,169.311203,-45.538153
Logan Park High School,170.528807,-45.861857
Otago Boys' High School,170.495877,-45.870984
Otago Girls' High School,170.499657,-45.875698
St Hildas Collegiate,170.503673,-45.867322
Kaikorai Valley College,170.467245,-45.881777
Bayfield High School,170.52319,-45.895969
Kings High School (Dunedin),170.494239,-45.902928
Queens High School,170.491394,-45.90402
Columba College,170.493983,-45.863466
John McGlashan College,170.497832,-45.85568
Lawrence Area School,169.686812,-45.921137
Blue Mountain College,169.258764,-45.939857
Tokomairiro High School,169.966921,-46.113193
South Otago High School,169.728524,-46.246237
The Catlins Area School,169.661393,-46.45314
Northern Southland College,168.448746,-45.744018
Gore High School,168.930258,-46.103549
St Peter's College (Gore),168.924031,-46.107165
Takitimu Primary School,168.032577,-45.9748
Central Southland College,168.320121,-46.137197
Fiordland College,167.723689,-45.409262
Menzies College,168.845934,-46.324827
Waiau Area School,167.688881,-46.129567
Southland Boys' High School,168.359101,-46.395634
Southland Girls' High School,168.36516,-46.417471
Verdon College,168.397288,-46.41572
Aparima College,168.016613,-46.353612
Rangiora New Life School,172.598016,-43.320251
Rudolf Steiner School (Chch),172.659135,-43.560087
Richmond View School,173.943362,-41.526405
Faith City School,175.020933,-39.92043
Michael Park School,174.815655,-36.893517
Odyssey House School (Auckland),174.705549,-36.898156
Whangamata Area School,175.866532,-37.215339
Excellere College,174.298573,-35.669702
Kingsway School,174.683043,-36.605641
Hukarere College,176.827686,-39.388577
Springbank School,173.915475,-35.242003
Totara College of Accelerated Learning,176.111442,-40.190154
Pinehurst School,174.704012,-36.739163
ACG Strathallan,174.903702,-37.081861
Hastings Christian School,176.845189,-39.658526
Hamilton Christian School,175.26086,-37.721434
Southern Cross Campus,174.816726,-36.964291
Kadimah School,174.759745,-36.855588
St Dominic's College,175.022669,-39.939407
Pukekohe Christian School,174.931297,-37.216711
Immanuel Christian School,174.696592,-36.9025
Carey College,174.854481,-36.901088
Ambury Park Centre,174.771215,-36.953132
TKK Motuhake o Tawhiuau,176.709269,-38.460994
Mana Tamariki,175.616143,-40.349078
Manukau Christian School,174.899781,-37.027835
Zayed College for Girls,174.790734,-36.979108
Westmount School,174.790412,-36.954479
Auckland International College,174.697869,-36.922405
The Bridge Academy,174.900169,-36.896786
Tongariro School,175.815059,-38.98579
Wainuiomata High School,174.936203,-41.251669
City Impact Church School,174.722963,-36.721823
Aquinas College,176.121981,-37.750885
Wentworth College,174.791292,-36.613153
Mt Hobson Middle School,174.783981,-36.874744
Nga Taiatea Wharekura,175.231112,-37.768016
Sancta Maria College,174.904879,-36.957848
Putaruru College,175.786837,-38.04016
Taieri College,170.351397,-45.875914
Reefton Area School,171.860873,-42.11524
Te Kura o Hirangi,175.803418,-38.984401
Te Aho o Te Kura Pounamu,174.776608,-41.274443
Kelston Deaf Education Centre,174.66499,-36.905313
Drury Christian School,174.949578,-37.096538
Kimi Ora School,174.942649,-41.197646
Kingslea School,172.668091,-43.504342
Van Asch Deaf Education Centre,172.759675,-43.579875
Halswell Residential College,172.569358,-43.562158
Carlson School (Cerebral Palsy),174.760602,-36.907621
Salisbury School (Nelson),173.195398,-41.337558
Twizel Area School,170.098059,-44.255247
Ponatahi Christian School,175.522456,-41.032158
Waiheke High School,175.027615,-36.801066
Catholic Cathedral College,172.646599,-43.53766
John Paul College,176.230145,-38.142448
Mt Aspiring College,169.136772,-44.68733
Kavanagh College,170.496588,-45.873942
Waikato Waldorf School ( Rudolf Steiner),175.280722,-37.725573
Al-Madinah School,174.792437,-36.976359
Te Kura Toitu o Te Whaiti-nui-a-Toi,176.77649,-38.589193
Samuel Marsden Collegiate School -Whitby,174.894118,-41.114985
MindAlive,174.761904,-36.856072
Aurora College,168.384079,-46.43114
Taihape Area School,175.801513,-39.675965
Te Waha O Rerekohu Area School,178.365549,-37.633719
Coastal Taranaki School,173.881544,-39.19286
James Hargest College,168.362669,-46.390643
Mission Heights Junior College,174.931233,-36.963908
Tangaroa College Teen Parent Unit,174.8926,-36.973109
Holy Family School (Wanaka),169.137626,-44.679789
TKKM o Te Kura Kokiri,176.283678,-37.723434
Te Wainui a Rua,175.107521,-39.582596
Albany Senior High School,174.695766,-36.730178
Ormiston Senior College,174.918244,-36.96796
Stonefields School,174.840539,-36.888313
Maraekakaho School,176.617899,-39.648542
Te Wharekura o Te Kaokaoroa o Patetere,175.774428,-38.044283
Mission Heights Primary School,174.931664,-36.962395
ACG Sunderland,174.633795,-36.864303
Te Totara Primary School,175.268722,-37.719812
West Rolleston Primary School,172.355917,-43.606888
Shotover Primary School,168.776626,-45.005745
Hingaia Peninsula School,174.916183,-37.077444
Te Kura o Nga Ruahine Rangi,174.229208,-39.423822
Kauri Flats School,174.949754,-37.0442
TKKM o Ngaringaomatariki,174.409953,-36.272816
Kumeroa School,175.989711,-40.337633
KingsGate School,174.896801,-37.200017
Golden Grove School,174.783873,-36.918942
Wentworth Primary,174.793868,-36.614512
Big Rock Primary School,170.33023,-45.949295
Ashburton Christian School,171.77209,-43.911169
Seven Oaks School,172.654497,-43.550944
