SAU,1993-03-01,1993-06-01,1993-09-01,1993-12-01,1994-03-01,1994-06-01,1994-09-01,1994-12-01,1995-03-01,1995-06-01,1995-09-01,1995-12-01,1996-03-01,1996-06-01,1996-09-01,1996-12-01,1997-03-01,1997-06-01,1997-09-01,1997-12-01,1998-03-01,1998-06-01,1998-09-01,1998-12-01,1999-03-01,1999-06-01,1999-09-01,1999-12-01,2000-03-01,2000-06-01,2000-09-01,2000-12-01,2001-03-01,2001-06-01,2001-09-01,2001-12-01,2002-03-01,2002-06-01,2002-09-01,2002-12-01,2003-03-01,2003-06-01,2003-09-01,2003-12-01,2004-03-01,2004-06-01,2004-09-01,2004-12-01,2005-03-01,2005-06-01,2005-09-01,2005-12-01,2006-03-01,2006-06-01,2006-09-01,2006-12-01,2007-03-01,2007-06-01,2007-09-01,2007-12-01,2008-03-01,2008-06-01,2008-09-01,2008-12-01,2009-03-01,2009-06-01,2009-09-01,2009-12-01,2010-03-01,2010-06-01,2010-09-01,2010-12-01,2011-03-01,2011-06-01,2011-09-01,2011-12-01,2012-03-01,2012-06-01,2012-09-01,2012-12-01,2013-03-01,2013-06-01,2013-09-01,2013-12-01,2014-03-01,2014-06-01,2014-09-01,2014-12-01,2015-03-01,2015-06-01,2015-09-01,2015-12-01,2016-03-01,2016-06-01,2016-09-01,2016-12-01,2017-03-01,2017-06-01
508320,,,,,,,,,,,,,,,1672.2,1716.8666666666666,1747.9333333333334,1789.2,1814.0,1801.3333333333333,1832.8666666666666,1865.4666666666667,1921.2,1963.4666666666667,1993.2,2013.5333333333333,2069.0666666666666,2058.6,2038.4,2087.4666666666667,2052.733333333333,2054.133333333333,2057.6666666666665,2066.4666666666667,2066.4666666666667,2058.6666666666665,2042.7333333333333,2004.0666666666666,2000.0,1983.4666666666667,2001.1333333333334,1962.4,1996.4,2061.8,2009.2666666666667,2065.4,2101.6666666666665,2124.4,2139.0666666666666,2209.266666666667,2263.3333333333335,2310.0,2336.0,2396.6666666666665,2413.6666666666665,2407.3333333333335,2442.9333333333334,2442.133333333333,2428.8,2520.5333333333333,2516.4666666666667,2519.3333333333335,2579.4666666666667,2611.9333333333334,2599.9333333333334,2636.8,2657.133333333333,2687.0,2683.4666666666667,2712.2,2799.266666666667,2795.0666666666666,2841.5333333333333,2827.266666666667,2847.733333333333,2837.866666666667,2858.733333333333,2849.4,2915.733333333333,2966.8,3034.8,3053.0666666666666,3060.133333333333,3075.6666666666665,3125.133333333333,3055.2,3159.733333333333,3160.0,3259.4666666666667,3235.6666666666665,3304.266666666667,3284.3333333333335,3313.866666666667,3296.266666666667,3324.6,3369.5333333333333,3425.6,3470.4
508411,,,,,,,,,,,,,,,1615.0666666666666,1643.9333333333334,1722.5333333333333,1768.3333333333333,1807.5333333333333,1824.7333333333333,1824.8,1867.8666666666666,1873.5333333333333,1859.3333333333333,1878.1333333333334,1877.2,1881.2,1916.0,1945.6,1920.5333333333333,1923.3333333333333,1932.4666666666667,1893.7333333333333,1934.1333333333334,1961.0,1952.4,1909.2,1923.5333333333333,1936.6,1925.0,1929.5333333333333,1953.0,1966.5333333333333,1974.0,2061.866666666667,2095.3333333333335,2116.866666666667,2196.0,2214.0666666666666,2257.9333333333334,2259.0666666666666,2309.4,2316.266666666667,2322.6,2360.0666666666666,2393.2,2457.3333333333335,2464.266666666667,2487.266666666667,2440.6666666666665,2440.0666666666666,2530.6,2596.866666666667,2584.6666666666665,2638.6666666666665,2757.9333333333334,2816.4,2827.0666666666666,2891.2,2889.133333333333,2893.4666666666667,2879.0666666666666,2839.2,2797.0666666666666,2905.4666666666667,3015.8,2920.6,2948.4666666666667,3065.6666666666665,3075.133333333333,3060.6,3109.9333333333334,3154.5333333333333,3225.0,3308.733333333333,3341.4,3406.4666666666667,3483.9333333333334,3566.0,3633.733333333333,3575.266666666667,3576.6666666666665,3600.133333333333,3527.0666666666666,3554.733333333333,3618.5333333333333,3576.9333333333334,3719.2
508412,,,,,,,,,,,,,,,1241.6666666666667,1294.1333333333334,1336.6,1451.0666666666666,1508.5333333333333,1552.4666666666667,1596.2,1635.4,1711.2666666666667,1752.4666666666667,1790.7333333333333,1755.8666666666666,1750.8,1739.6666666666667,1759.6,1747.7333333333333,1762.5333333333333,1738.2666666666667,1678.8,1674.0666666666666,1624.2666666666667,1669.3333333333333,1644.3333333333333,1620.7333333333333,1653.8666666666666,1663.5333333333333,1724.3333333333333,1792.0,1884.0,1906.2,1988.4,2044.9333333333334,2137.6,2169.733333333333,2204.4666666666667,2285.6666666666665,2268.266666666667,2382.0,2415.6,2448.733333333333,2562.733333333333,2634.6,2694.6666666666665,2646.4,2687.2,2656.8,2639.866666666667,2615.266666666667,2632.8,2672.6666666666665,2664.0,2681.3333333333335,2577.866666666667,2530.4,2503.9333333333334,2397.8,2373.733333333333,2384.866666666667,2357.866666666667,2308.866666666667,2331.9333333333334,2318.266666666667,2368.0666666666666,2385.0,2389.9333333333334,2398.8,2373.4666666666667,2463.0,2518.0,2558.6,2668.866666666667,2639.266666666667,2610.0,2639.266666666667,2768.733333333333,2803.4666666666667,2784.5333333333333,2702.6,2720.4666666666667,2760.866666666667,2839.0,2894.6,2875.133333333333,2850.6
508420,,,,,,,,,,,,,,,1791.1333333333334,1825.2666666666667,1919.0,1955.8666666666666,2009.3333333333333,2064.6,2149.0,2176.0666666666666,2206.6666666666665,2256.6666666666665,2313.9333333333334,2366.266666666667,2431.3333333333335,2431.5333333333333,2484.2,2508.6666666666665,2521.6666666666665,2529.2,2537.4,2580.4666666666667,2574.8,2491.4666666666667,2524.133333333333,2538.6,2499.0,2503.8,2532.8,2577.3333333333335,2627.9333333333334,2624.5333333333333,2598.2,2678.4666666666667,2687.9333333333334,2749.6,2691.133333333333,2729.4,2841.4,2882.5333333333333,2937.266666666667,3041.9333333333334,3078.6666666666665,3019.133333333333,3011.3333333333335,3109.3333333333335,3189.3333333333335,3267.133333333333,3210.4666666666667,3249.3333333333335,3273.9333333333334,3291.866666666667,3332.733333333333,3374.733333333333,3429.8,3386.133333333333,3397.0,3362.0,3465.4,3492.2,3502.3333333333335,3419.133333333333,3467.5333333333333,3554.0666666666666,3524.0,3563.733333333333,3767.733333333333,3738.0666666666666,3759.266666666667,3796.4666666666667,3863.133333333333,3916.0,4038.266666666667,4045.133333333333,4025.5333333333333,3981.4,4145.533333333334,4183.266666666666,4275.133333333333,4381.533333333334,4480.333333333333,4442.666666666667,4487.8,4539.8,4584.4,4677.0
508510,,,,,,,,,,,,,,,1964.0666666666666,1994.8,2045.6,2121.8,2148.733333333333,2144.133333333333,2186.866666666667,2230.6,2274.9333333333334,2335.6666666666665,2334.733333333333,2347.3333333333335,2405.9333333333334,2352.6,2329.4666666666667,2323.0,2334.0,2315.8,2312.133333333333,2376.2,2432.4,2446.8,2460.133333333333,2420.266666666667,2434.5333333333333,2490.4,2510.8,2484.5333333333333,2580.733333333333,2676.733333333333,2679.9333333333334,2659.0,2720.9333333333334,2692.133333333333,2722.2,2773.6666666666665,2773.866666666667,2790.266666666667,2912.133333333333,2873.866666666667,2883.4,2951.266666666667,3024.5333333333333,3046.0,3004.133333333333,3073.6,3236.133333333333,3265.5333333333333,3395.4,3358.6666666666665,3387.2,3448.6666666666665,3509.733333333333,3508.2,3630.733333333333,3689.733333333333,3694.133333333333,3663.2,3689.6,3781.4,3724.0666666666666,3740.0666666666666,3715.6,3755.0666666666666,3881.0666666666666,3913.266666666667,3963.3333333333335,4001.0,4054.133333333333,4079.4666666666667,4220.666666666667,4221.2,4357.0,4383.933333333333,4419.133333333333,4574.2,4650.066666666667,4749.133333333333,4769.266666666666,4799.266666666666,4860.333333333333,4928.933333333333,5011.066666666667,4969.066666666667
508520,,,,,,,,,,,,,,,1729.0666666666666,1845.4,1954.0666666666666,2025.5333333333333,2113.0666666666666,2161.866666666667,2226.9333333333334,2269.266666666667,2354.133333333333,2369.6666666666665,2406.0,2399.0,2384.266666666667,2405.4,2471.5333333333333,2482.5333333333333,2467.3333333333335,2430.0,2398.4666666666667,2355.0,2405.3333333333335,2350.6666666666665,2353.8,2368.0,2379.9333333333334,2419.5333333333333,2491.733333333333,2623.266666666667,2675.5333333333333,2700.6,2731.8,2782.0,2838.0666666666666,2895.866666666667,2923.4,2972.866666666667,3065.8,3045.4,3082.2,3142.0666666666666,3111.3333333333335,3056.266666666667,3070.6,3128.133333333333,3171.6666666666665,3205.3333333333335,3221.733333333333,3264.733333333333,3324.6666666666665,3305.5333333333333,3356.4666666666667,3418.4,3493.133333333333,3498.0,3448.733333333333,3549.6,3645.4666666666667,3675.733333333333,3728.733333333333,3769.8,3793.866666666667,3868.866666666667,3880.2,3941.4666666666667,4067.4,3986.9333333333334,4029.733333333333,4047.3333333333335,4083.866666666667,4177.4,4220.466666666666,4310.133333333333,4324.8,4264.933333333333,4245.066666666667,4265.266666666666,4314.266666666666,4389.933333333333,4353.666666666667,4438.266666666666,4588.066666666667,4746.4,4919.866666666667,4959.533333333334
508610,,,,,,,,,,,,,,,1933.3333333333333,1961.8,1959.4,2040.3333333333333,2065.6666666666665,2087.2,2111.6666666666665,2167.4666666666667,2185.266666666667,2158.6,2164.6666666666665,2165.4,2179.133333333333,2195.2,2131.733333333333,2114.8,2164.8,2154.133333333333,2056.3333333333335,2095.0666666666666,2144.5333333333333,2114.6666666666665,2130.2,2150.866666666667,2146.866666666667,2148.733333333333,2171.0,2184.4666666666667,2137.6666666666665,2194.6666666666665,2259.866666666667,2298.0,2350.0666666666666,2450.6666666666665,2472.6666666666665,2464.733333333333,2460.733333333333,2463.733333333333,2478.4666666666667,2518.8,2561.0,2622.8,2730.8,2768.3333333333335,2761.733333333333,2753.0666666666666,2758.6,2810.9333333333334,2823.0666666666666,2889.2,2979.4,3104.2,3179.733333333333,3216.0666666666666,3272.4,3335.3333333333335,3334.0,3335.866666666667,3337.9333333333334,3432.133333333333,3435.266666666667,3455.6666666666665,3388.733333333333,3398.8,3327.3333333333335,3247.733333333333,3337.4666666666667,3293.0666666666666,3291.6666666666665,3344.9333333333334,3312.133333333333,3387.5333333333333,3346.5333333333333,3407.8,3426.2,3447.866666666667,3522.0666666666666,3617.4666666666667,3707.8,3840.6666666666665,4126.066666666667,4055.6,4312.933333333333,4499.133333333333
508620,,,,,,,,,,,,,,,1511.5333333333333,1574.6,1626.0,1700.4,1765.8,1805.6666666666667,1829.4,1897.4666666666667,1999.2666666666667,2010.9333333333334,2028.2,2078.6666666666665,2142.6666666666665,2065.866666666667,2034.4666666666667,2023.1333333333334,2024.0666666666666,2031.7333333333333,2008.8,1991.7333333333333,2039.2,2086.133333333333,2032.8,1986.6666666666667,1948.3333333333333,1916.4666666666667,1927.3333333333333,1949.4,2064.4666666666667,2135.133333333333,2149.2,2213.866666666667,2212.266666666667,2241.6,2264.8,2226.3333333333335,2234.9333333333334,2232.0,2220.6,2290.133333333333,2356.6666666666665,2322.8,2352.5333333333333,2299.4666666666667,2311.733333333333,2279.4666666666667,2262.4,2286.133333333333,2258.6,2287.0,2338.6666666666665,2302.133333333333,2370.4666666666667,2408.733333333333,2487.0,2439.0666666666666,2497.4,2457.133333333333,2474.2,2411.8,2480.4666666666667,2429.266666666667,2469.8,2635.866666666667,2631.5333333333333,2616.266666666667,2705.0,2715.733333333333,2751.3333333333335,2754.866666666667,2848.6666666666665,2938.2,2984.4,3019.5333333333333,3133.866666666667,3103.5333333333333,3226.866666666667,3192.2,3234.733333333333,3288.266666666667,3447.5333333333333,3457.9333333333334,3511.0666666666666,3706.6
508701,,,,,,,,,,,,,,,121.06666666666666,121.06666666666666,121.06666666666666,121.06666666666666,162.13333333333333,150.8,216.8,299.53333333333336,360.1333333333333,328.46666666666664,409.3333333333333,489.73333333333335,591.8666666666667,645.8666666666667,704.2,800.2666666666667,902.6666666666666,958.0666666666667,1016.2666666666667,1034.4,1072.7333333333333,1193.7333333333333,1251.4666666666667,1352.1333333333334,1483.8,1578.0666666666666,1736.0666666666666,1805.7333333333333,1965.6,2083.866666666667,2217.0666666666666,2346.133333333333,2516.733333333333,2701.266666666667,2898.0666666666666,3060.4666666666667,3142.0,3211.9333333333334,3308.6,3391.266666666667,3496.3333333333335,3552.4666666666667,3608.133333333333,3594.6666666666665,3687.3333333333335,3667.8,3662.266666666667,3755.4,3901.6666666666665,3955.2,4044.3333333333335,4065.3333333333335,4155.2,4213.733333333334,4226.733333333334,4268.466666666666,4277.866666666667,4318.133333333333,4442.0,4503.333333333333,4637.0,4734.733333333334,4734.333333333333,4779.333333333333,4911.333333333333,4924.533333333334,4990.4,5070.266666666666,5088.266666666666,5130.733333333334,5184.466666666666,5235.6,5350.4,5278.0,5305.266666666666,5500.533333333334,5646.533333333334,5779.666666666667,5744.666666666667,5785.333333333333,5908.466666666666,5938.733333333334,5996.266666666666,6025.066666666667
508702,,,,,,,,,,,,,,,425.3333333333333,414.2,452.8666666666667,505.0,542.1333333333333,578.8,623.8666666666667,745.0,845.0666666666667,936.0666666666667,997.2,1068.6,1168.6,1228.3333333333333,1296.5333333333333,1481.4,1606.1333333333334,1698.8,1795.7333333333333,1904.0,2007.2,2060.3333333333335,2095.5333333333333,2216.8,2230.5333333333333,2310.0666666666666,2432.0666666666666,2545.4,2644.0,2751.3333333333335,2838.9333333333334,2920.6,2996.0,3078.266666666667,3182.266666666667,3281.0,3376.4666666666667,3504.3333333333335,3544.3333333333335,3692.133333333333,3805.866666666667,3808.0,3842.4,3884.9333333333334,3895.3333333333335,3990.9333333333334,4087.5333333333333,4285.6,4425.6,4569.466666666666,4702.8,4866.0,4885.933333333333,4986.666666666667,5146.0,5295.533333333334,5388.533333333334,5484.133333333333,5649.066666666667,5686.533333333334,5762.666666666667,5844.8,5722.4,5661.866666666667,5720.8,5754.333333333333,5743.066666666667,5911.133333333333,5954.533333333334,5999.733333333334,6029.933333333333,6179.533333333334,6216.933333333333,6183.0,6315.066666666667,6369.6,6426.4,6658.533333333334,6824.6,6882.866666666667,6962.666666666667,7066.4,7101.533333333334,7223.2
508801,,,,,,,,,,,,,,,937.0666666666667,1030.9333333333334,1123.6,1203.2666666666667,1324.8666666666666,1476.5333333333333,1555.8666666666666,1670.5333333333333,1774.1333333333334,1898.1333333333334,1997.4666666666667,2106.6666666666665,2241.4,2366.9333333333334,2456.266666666667,2588.9333333333334,2728.3333333333335,2844.4666666666667,2908.5333333333333,2950.733333333333,3057.0,3135.6,3171.866666666667,3214.4,3246.733333333333,3315.6,3369.266666666667,3392.733333333333,3437.4,3512.5333333333333,3569.4666666666667,3604.5333333333333,3673.266666666667,3742.5333333333333,3831.866666666667,3841.5333333333333,3945.0666666666666,4016.0666666666666,4112.466666666666,4185.133333333333,4238.933333333333,4285.4,4449.133333333333,4623.4,4767.133333333333,4930.733333333334,5079.733333333334,5272.333333333333,5428.666666666667,5576.866666666667,5746.066666666667,5853.6,6027.4,6164.6,6334.066666666667,6522.066666666667,6705.866666666667,6802.866666666667,6866.666666666667,6987.533333333334,7019.2,6989.0,7000.533333333334,7082.533333333334,7147.066666666667,7072.933333333333,7143.666666666667,7049.533333333334,7076.066666666667,7118.2,7164.0,7188.666666666667,7181.533333333334,7228.0,7231.266666666666,7252.2,7285.666666666667,7334.533333333334,7378.533333333334,7429.066666666667,7518.533333333334,7540.933333333333,7622.666666666667,7732.0
